id,SetPointName,point_name,report_header_name,unit,HeaderName,PDF File name
94,SYNGENE_PROC_ACTIVE_ENERGY_KWH_PROC,Process KW,Process KW,Kw-Hr,MFM Report,SF- MFM REPORT 
95,SYNGENE_SDPD_ACTIVE_ENERGY_KWH_SDPD,Service PD_KW,Service PD_KW,Kw-Hr,MFM Report,SF- MFM REPORT 
96,SYNGENE_TFA_SF001_MT001,RETURN RH,RETURN RH,%,TFA  REPORT,SF- TFA REPORT 
97,SYNGENE_TFA_SF001_PDT001,PDT ,PDT ,Pa,TFA  REPORT,SF- TFA REPORT 
98,SYNGENE_TFA_SF001_TT001,RETURN TEMP,RETURN TEMP,%,TFA  REPORT,SF- TFA REPORT 
99,SYNGENE_TFA_SF002_MT001,SUPPLY TEMP,SUPPLY TEMP,Pa,TFA  REPORT,SF- TFA REPORT 
100,SYNGENE_TFA_SF002_TT001,SUPPLY RH,SUPPLY RH,%,TFA  REPORT,SF- TFA REPORT 
101,SYNGENE_TT001,RETURN TEMP,RETURN TEMP,OC,AHU1  REPORT,SF- AHU 1 REPORT
102,SYNGENE_TT001_CW_RH,RETURN RH SP,RETURN RH SP,%,AHU1  REPORT,SF- AHU 1 REPORT
103,SYNGENE_TT001_CW_TEMP,RETURN TEMP SP,RETURN TEMP SP,OC,AHU1  REPORT,SF- AHU 1 REPORT
104,SYNGENE_UPS_ACTIVE_ENERGY_KWHUPS,UPS KW,UPS KW,Kw-Hr,MFM REPORT,SF- MFM REPORT 
105,SYNGENE_AHU1_RA_RH,RETURN RH ,RETURN RH ,%,AHU 1 REPORT,3F -AHU 1 REPORT
106,SYNGENE_AHU1_RA_TEMP, RETURN TEMP, RETURN TEMP,OC,AHU 1 REPORT,3F -AHU 1 REPORT
107,SYNGENE_AHU1_RH_SP,RETURN RH SP,RETURN RH SP,%,AHU 1 REPORT,3F -AHU 1 REPORT
108,SYNGENE_AHU1_SA_DUCT_PRESSURE,PDT ,PDT ,Pa,AHU 1 REPORT,3F -AHU 1 REPORT
109,SYNGENE_AHU1_SPEED_FB,VFD SPEED REF,VFD SPEED REF,Hz,AHU 1 REPORT,3F -AHU 1 REPORT
110,SYNGENE_AHU1_TEMP_SP,RETURN TEMP SP ,RETURN TEMP SP ,OC,AHU 1 REPORT,3F -AHU 1 REPORT
111,SYNGENE_AHU2_RA_RH,RETURN RH ,RETURN RH ,%,AHU 2 REPORT,3F -AHU 2 REPORT
112,SYNGENE_AHU2_RA_TEMP, RETURN TEMP, RETURN TEMP,OC,AHU 2 REPORT,3F -AHU 2 REPORT
113,SYNGENE_AHU2_RH_SP,RETURN RH SP,RETURN RH SP,%,AHU 2 REPORT,3F -AHU 2 REPORT
114,SYNGENE_AHU2_SA_DUCT_PRESSURE,PDT ,PDT ,Pa,AHU 2 REPORT,3F -AHU 2 REPORT
115,SYNGENE_AHU2_SPEED_FB,VFD SPEED REF,VFD SPEED REF,Hz,AHU 2 REPORT,3F -AHU 2 REPORT
116,SYNGENE_AHU2_TEMP_SP,RETURN TEMP SP ,RETURN TEMP SP ,OC,AHU 2 REPORT,3F -AHU 2 REPORT
117,SYNGENE_AHU3_RA_RH,RETURN RH ,RETURN RH ,%,AHU 3 REPORT,3F -AHU 3 REPORT
118,SYNGENE_AHU3_RA_TEMP, RETURN TEMP, RETURN TEMP,OC,AHU 3 REPORT,3F -AHU 3 REPORT
120,SYNGENE_AHU3_RA_TEMP_SP,RETURN TEMP SP,RETURN TEMP SP,OC,AHU 3 REPORT,3F -AHU 3 REPORT
121,SYNGENE_AHU3_RH_SP,RETURN RH SP,RETURN RH SP,%,AHU 3 REPORT,3F -AHU 3 REPORT
122,SYNGENE_AHU3_SA_DUCT_PRESSURE,PDT ,PDT ,Pa,AHU 3 REPORT,3F -AHU 3 REPORT
123,SYNGENE_AHU3_SPEED_FB,VFD SPEED REF,VFD SPEED REF,Hz,AHU 3 REPORT,3F -AHU 3 REPORT
124,SYNGENE_AHU3_TEMP_SP,RETURN TEMP SP ,RETURN TEMP SP ,OC,AHU 3 REPORT,3F -AHU 4 REPORT
125,SYNGENE_AHU4_RA_RH,RETURN RH ,RETURN RH ,%,AHU 4 REPORT,3F -AHU 4 REPORT
126,SYNGENE_AHU4_RA_TEMP, RETURN TEMP, RETURN TEMP,OC,AHU 4 REPORT,3F -AHU 4 REPORT
127,SYNGENE_AHU4_RH_SP,RETURN TEMP SP,RETURN TEMP SP,%,AHU 4 REPORT,3F -AHU 4 REPORT
128,SYNGENE_AHU4_SA_DUCT_PRESSRE,PDT ,PDT ,Pa,AHU 4 REPORT,3F -AHU 4 REPORT
129,SYNGENE_AHU4_SPEED_FB,VFD SPEED REF,VFD SPEED REF,Hz,AHU 4 REPORT,3F -AHU 4 REPORT
130,SYNGENE_AHU4_TEMP_SP,RETURN TEMP SP ,RETURN TEMP SP ,OC,AHU 4 REPORT,3F -AHU 4 REPORT
131,Syngene_3F_RAW_PWR_PNL_IC_MFM,RAW PANEL-KW ,RAW PANEL-KW ,kw-hr,MFM REPORT,3F - MFM REPORT
132,Syngene_3F_EX_IC1_MFM_Kwh,EX-PANEL-KW,EX-PANEL-KW,kw-hr,MFM REPORT,3F - MFM REPORT
133,Syngene_3F_UPS_IC_MFM,UPS-O/G-KW,UPS-O/G-KW,kw-hr,MFM REPORT,3F - MFM REPORT
134,Syngene_3F_MLT_IC_PNL_MFM,MAIN-KW,MAIN-KW,kw-hr,MFM REPORT,3F - MFM REPORT
135,Syngene_3F_LIGHTING_PNL_IC_MFM1,LIGHTING-PD-KW,LIGHTING-PD-KW,kw-hr,MFM REPORT,3F - MFM REPORT
136,Syngene_3F_HVAC_PNL_IC_MFM,HVAC-KW,HVAC-KW,kw-hr,MFM REPORT,3F - MFM REPORT
137,Syngene_3F_CHW_RETURN_TEMP_BTU1,CHW_RET_WATER_TEMP,CHW_RET_WATER_TEMP,OC,BTU REPORT,3F - BTU METER REPORT
138,Syngene_3F_HOT_WTR_BTU,HW_RET_WATER_TEMP,HW_RET_WATER_TEMP,OC,BTU REPORT,3F - BTU METER REPORT
139,SYNGENE_TFA_A_DUCT_PRESSURE_SP,TFA A DUCT PRS SP,TFA A DUCT PRS SP,Pa,TFA  REPORT,3F - TFA REPORT
140,SYNGENE_TFA_A_SA_DUCT_PRESSURE,TFA A SA DUCT PRS ,TFA A SA DUCT PRS ,Pa,TFA  REPORT,3F - TFA REPORT
141,SYNGENE_TFA_A_SPEED_FB,TFA A SPEED FB ,TFA A SPEED FB ,Hz,TFA  REPORT,3F - TFA REPORT
142,SYNGENE_TFA_B_SPEED_FB,TFA A SPEED FB ,TFA A SPEED FB ,Hz,TFA  REPORT,3F - TFA REPORT
143,SYNGENE_AHU_5F01_MT01,RETURN RH ,RETURN RH ,%,AHU 1  Report,5F -AHU 1  Report 
144,SYNGENE_AHU_5F01_MT01_SP,RETURN RH SP,RETURN RH SP,%, AHU 1  Report,5F -AHU 1  Report 
145,SYNGENE_AHU_5F01_PDT01,PDT ,PDT ,Pa, AHU 1  Report,5F -AHU 1  Report 
146,SYNGENE_AHU_5F01_TT01,RETURN TEMP ,RETURN TEMP ,OC, AHU 1  Report,5F -AHU 1  Report 
147,SYNGENE_AHU_5F01_TT01_SP,RETURN TEMP SP,RETURN TEMP SP,OC, AHU 1  Report,5F -AHU 1  Report 
148,SYNGENE_AHU_5F01_TT02,SUPPLY TEMP ,SUPPLY TEMP ,OC, AHU 1  Report,5F -AHU 1  Report 
149,SYNGENE_AHU_5F02_MT01,RETURN RH ,RETURN RH ,%, AHU 2  Report,5F -AHU 2  Report 
150,SYNGENE_AHU_5F02_MT01_SP,RETURN RH SP,RETURN RH SP,%, AHU 2  Report,5F -AHU 2  Report 
151,SYNGENE_AHU_5F02_PDT01,PDT ,PDT ,Pa, AHU 2  Report,5F -AHU 2  Report 
152,SYNGENE_AHU_5F02_TT01,RETURN TEMP ,RETURN TEMP ,OC, AHU 2  Report,5F -AHU 2  Report 
153,SYNGENE_AHU_5F02_TT01_SP,RETURN TEMP SP,RETURN TEMP SP,OC, AHU 2  Report,5F -AHU 2  Report 
154,SYNGENE_AHU_5F02_TT02,SUPPLY TEMP ,SUPPLY TEMP ,OC, AHU 2  Report,5F -AHU 2  Report 
155,SYNGENE_AHU_5F03_MT01,RETURN RH ,RETURN RH ,%, AHU 3  Report,5F -AHU 3  Report 
156,SYNGENE_AHU_5F03_MT01_SP,RETURN RH SP,RETURN RH SP,%, AHU 3  Report,5F -AHU 3  Report 
157,SYNGENE_AHU_5F03_PDT01,PDT ,PDT ,Pa, AHU 3  Report,5F -AHU 3  Report 
158,SYNGENE_AHU_5F03_TT01,RETURN TEMP ,RETURN TEMP ,OC, AHU 3  Report,5F -AHU 3  Report 
159,SYNGENE_AHU_5F03_TT01_SP,RETURN TEMP SP,RETURN TEMP SP,OC, AHU 3  Report,5F -AHU 3  Report 
